CASE_NUMBER,VISA_STATUS,EMPLOYER_NAME,PREVAILING_WAGE_SUBMITTED,PREVAILING_WAGE_SUBMITTED_UNIT,PAID_WAGE_SUBMITTED,PAID_WAGE_SUBMITTED_UNIT,JOB_TITLE,WORK_CITY,PREVAILING_WAGE_SOC_CODE,PREVAILING_WAGE_SOC_TITLE,WORK_STATE,FULL_TIME_POSITION_Y_N,VISA_CLASS,JOB_TITLE_SUBGROUP,order,CASE_RECEIVED_DATE,Decision_Date,Processing_Time_Days
I-200-13165-692678,certified,"SRI ANJANEYA TECHNOLOGIES, LLC",47549.0,year,50000.0,year,SOFTWARE ENGINEER,AUSTIN,15-1132,"Software Developers, Applications",TX,y,H-1B,software engineer,144062,14-Jun-13,20-Jun-13,6
I-200-14066-988647,certified,GRASSROOT TECHNOLOGIES INC.,50045.0,year,52000.0,year,SOFTWARE ENGINEER,LANSDALE,15-1131,Computer Programmers,PA,y,H-1B,software engineer,139717,03-Jul-14,13-Mar-14,112
I-201-15070-363821,certified,QUE TAL LANGUAGE PROGRAM,20.19,hour,25.0,hour,SPANISH TEACHER,PLYMOUTH,25-2021,"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL",MN,n,H-1B1 Chile,teacher,154792,03-Nov-15,18-Mar-15,230
A-14258-07011,certified,"CA, INC.",134534.0,year,140000.0,year,SENIOR SOFTWARE ENGINEER,SANTA CLARA,15-1132,"Software Developers, Applications",CALIFORNIA,,greencard,software engineer,2575,10-Aug-14,03-Oct-15,419
I-200-14275-529552,certified,"MEDICAL SCIENCE & COMPUTING, LLC",89128.0,year,89128.0,year,RESEARCH C++ SOFTWARE ENGINEER,BETHESDA,15-1132,"Software Developers, Applications",MD,y,H-1B,software engineer,44305,10-Feb-14,10-Aug-14,181
I-200-14338-855728,certified,MICROSOFT CORPORATION,112986.0,year,138210.0,year,SENIOR SOFTWARE ENGINEER,REDMOND,15-1132,"Software Developers, Applications",WA,y,H-1B,software engineer,13107,12-Aug-14,12-Dec-14,122
I-200-14216-643370,certified,"ROBIN SYSTEMS, INC.",148803.0,year,150000.0,year,SENIOR NETWORKING SOFTWARE ENGINEER,MILPITAS,15-1133,"Software Developers, Systems Software",CA,y,H-1B,software engineer,1170,08-Jun-14,08-Dec-14,183
I-200-14265-274748,certified,"BHARGAV COMPUTER CONSULTANTS USA-MA, INC",89669.0,year,90000.0,year,SR. SOFTWARE ENGINEER,RESTON,15-1132,"Software Developers, Applications",VA,y,H-1B,software engineer,43299,22-Sep-14,26-Sep-14,4
I-200-11277-306052,certified,LOUDOUN COUNTY PUBLIC SCHOOLS,61057.0,year,83581.0,year,SPECIAL EDUCATION TEACHER,ASHBURN,25-2053,"Special Education Teachers, Middle School",VA,y,H-1B,teacher,110749,10-Apr-11,10-Nov-11,214
I-200-14077-626223,withdrawn,LARSEN & TOUBRO INFOTECH LIMITED,47424.0,year,64356.0,year,SOFTWARE ENGINEER & TESTER,NEW YORK,15-1199,"Computer Occupations, All Other",NY,y,H-1B,software engineer,144269,18-Mar-14,26-Mar-14,8
I-200-14072-403162,certified,"CANDELIS, INC.",72883.0,year,75000.0,year,SOFTWARE ENGINEER,NEWPORT BEACH,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,78055,13-Mar-14,19-Mar-14,6
I-200-14188-766709,withdrawn,"SOLUTION TECHNOLOGY SYSTEMS, INC.",105800.0,year,118185.6,year,SENIOR SOFTWARE ENGINEER,Arlington,15-1132,"Software Developers, Applications",VA,y,H-1B,software engineer,20039,07-Jul-14,07-Oct-14,92
I-200-15044-804831,certified,GOOGLE INC.,99423.0,year,109200.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,26591,17-Feb-15,25-Feb-15,8
I-200-13091-696650,certified,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,50.1,hour,50.1,hour,ASSISTANT PROFESSOR,LITTLE ROCK,29-1069,"Physicians and Surgeons, All Other",AR,n,H-1B,assistant professor,21556,04-Jan-13,04-May-13,120
I-200-14254-537543,certified,"AMIRIT TECHNOLOGIES, INC.",71344.0,year,71345.0,year,SOFTWARE ENGINEER,FAIRFIELD,15-1133,"Software Developers, Systems Software",NJ,y,H-1B,software engineer,82145,09-Nov-14,17-Sep-14,53
I-200-13086-620223,certified,"HAYNEEDLE, INC.",56514.0,year,58000.0,year,API SOFTWARE ENGINEER,OMAHA,15-1133,"Software Developers, Systems Software",NE,y,H-1B,software engineer,126408,27-Mar-13,04-Feb-13,51
I-200-13081-674997,certified,"YASH & LUJAN CONSULTING, INC.",58302.0,year,65000.0,year,SOFTWARE ENGINEER,SAN ANTONIO,15-1132,"Software Developers, Applications",TX,y,H-1B,software engineer,120094,22-Mar-13,28-Mar-13,6
I-200-14315-980652,certified,NORTHSTAR GROUP INC,56930.0,year,61000.0,year,BUSINESS ANALYST,WILMINGTON,15-1121,Computer Systems Analysts,DE,y,H-1B,business analyst,125355,11-Nov-14,17-Nov-14,6
I-200-14057-749340,certified,"MACHINE ZONE, INC.",141898.0,year,141898.0,year,DATA SCIENTIST,PALO ALTO,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,CA,y,H-1B,data scientist,1681,20-Mar-14,26-Mar-14,6
I-200-13338-559194,certified,TEK ERP LLC,42203.0,year,60000.0,year,BUSINESS ANALYST,Jacksonville,13-1111,Management Analysts,FL,y,H-1B,business analyst,154083,12-Apr-13,12-Oct-13,183
I-200-11306-865173,withdrawn,"DENA GLOBAL, INC.",76918.0,year,90000.0,year,SOFTWARE ENGINEER,SAN FRANCISCO,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,67319,11-Aug-11,11-Oct-11,61
I-200-11314-842795,certified,YORK & CHAPEL CORP.,62338.0,year,62338.0,year,Applications Software Engineers,MILFORD,15-1132,"Software Developers, Applications",CT,y,H-1B,software engineer,106779,17-Nov-11,23-Nov-11,6
I-200-14017-983732,certified,"FACEBOOK, INC.",132080.0,year,143350.0,year,SOFTWARE ENGINEER,MENLO PARK,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,3594,30-Jan-14,02-Jun-14,123
I-200-13211-618294,certified,PINON UNIFIED SCHOOL DISTRICT #4,32920.0,year,35000.0,year,PUBLIC SCHOOL TEACHER,Pinon,25-2053,"Special Education Teachers, Middle School",AZ,y,H-1B,teacher,164014,30-Jul-13,08-May-13,83
I-200-13268-728487,certified,CYGATE SOFTWARE & CONSULTING LLC,75213.0,year,80000.0,year,FINANCIAL BUSINESS ANALYST,Edison,13-2051,FINANCIAL ANALYSTS,NJ,y,H-1B,business analyst,71910,25-Sep-13,26-Oct-13,31
I-200-14066-975002,certified,"YASH & LUJAN CONSULTING, INC.",61402.0,year,65000.0,year,SOFTWARE ENGINEER,SAN ANTONIO,15-1132,"Software Developers, Applications",TX,y,H-1B,software engineer,109853,03-Jul-14,13-Mar-14,112
I-200-14069-517587,certified,"INTERNATIONAL TECHNOLOGY SOLUTIONS, INC.",75442.0,year,75442.0,year,SOFTWARE ENGINEER,MONMOUTH JUNCTION,15-1132,"Software Developers, Applications",NJ,y,H-1B,software engineer,71593,10-Mar-14,14-Mar-14,4
I-200-14183-459166,certified,DOMINICAN UNIVERSITY OF CALIFORNIA,89597.0,year,93000.0,year,Assistant Professor of Marketing,SAN RAFAEL,25-1011,"Business Teachers, Postsecondary",CA,y,H-1B,assistant professor,43413,07-Feb-14,07-Sep-14,212
I-200-13170-440631,certified,THE WINDWARD SCHOOL,31900.0,year,31900.0,year,ASSISTANT TEACHER,WHITE PLAINS,25-2041,"Special Education Teachers, Preschool, Kindergarte",NY,y,H-1B,teacher,164604,19-Jun-13,25-Jun-13,6
I-200-14065-490052,certified,VONAGE AMERICA INC.,94500.0,year,94500.0,year,BUSINESS ANALYST III,HOLMDEL,15-1121,Computer Systems Analysts,NJ,y,H-1B,business analyst,34603,20-Mar-14,28-Mar-14,8
I-200-14311-469858,certified,CAPITAL ONE SERVICES II LLC,86486.0,year,90300.0,year,SENIOR SOFTWARE ENGINEER,WILMINGTON,15-1132,"Software Developers, Applications",DE,y,H-1B,software engineer,49870,11-Jul-14,14-Nov-14,126
I-200-14206-231441,certified,"VISIONET SYSTEMS, INC.",60278.0,year,65083.0,year,BUSINESS ANALYST,BROOMFIELD,15-1121,Computer Systems Analysts,CO,y,H-1B,business analyst,114227,25-Jul-14,31-Jul-14,6
I-200-13084-137212,certified,"INFOVISIA, INC",56555.0,year,65000.0,year,SOFTWARE ENGINEER,LIBERTYVILLE,15-1121,Computer Systems Analysts,IL,y,H-1B,software engineer,126350,25-Mar-13,29-Mar-13,4
A-13217-85636,certified,"CITRIX SYSTEMS, INC.",94162.0,year,95000.0,year,"SOFTWARE ENGINEER, SECURITY",SANTA CLARA,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",CALIFORNIA,,greencard,software engineer,35638,26-Sep-13,16-Apr-15,567
I-200-13017-236571,certified,PROJECT PORSCHE HOLDING CORPORATION,37.89,hour,38.0,hour,BUSINESS ANALYST,BLOOMINGTON,15-1132,"Software Developers, Applications",MN,y,H-1B,business analyst,63948,17-Jan-13,24-Jan-13,7
A-15056-54034,withdrawn,"AUDIENCE, INC.",106517.0,year,106517.0,year,EMBEDDED SYSTEMS SOFTWARE ENGINEER III,MOUNTAIN VIEW,17-2072,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",CALIFORNIA,,greencard,software engineer,19723,04-Jul-15,06-Apr-15,89
I-200-15055-175675,certified,"CAPRICORN SYSTEMS, INC.",57949.0,year,60000.0,year,SOFTWARE ENGINEER,TUCKER,15-1132,"Software Developers, Applications",GA,y,H-1B,software engineer,122272,24-Feb-15,03-Feb-15,21
I-200-15070-358525,certified,"BAREFOOT NETWORKS, INC",98488.0,year,100000.0,year,SOFTWARE ENGINEER,PALO ALTO,15-1133,"Software Developers, Systems Software",CA,y,H-1B,software engineer,29946,14-Mar-15,19-Apr-15,36
I-200-15065-803089,certified,IT PEOPLE CORPORATION,65936.0,year,70000.0,year,SOFTWARE ENGINEER,MORRISVILLE,15-1132,"Software Developers, Applications",NC,y,H-1B,software engineer,95260,03-Jun-15,03-Dec-15,183
I-200-15062-817049,certified,ROYAL CYBER INC.,92914.0,year,92914.0,year,"SENIOR SOFTWARE ENGINEER, LEVEL III (IBM RATIONAL ARCHITECT)",NAPERVILLE,15-1121,Computer Systems Analysts,IL,y,H-1B,software engineer,38116,03-Mar-15,03-Sep-15,184
I-200-13046-379876,certified,GOOGLE INC.,100984.0,year,150000.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,23600,20-Feb-13,07-Jan-13,44
I-200-13091-530000,certified,"BRILLIANT SOFTWARE SOLUTIONS, INC.",71261.0,year,72000.0,year,SOFTWARE ENGINEER,Fremont,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,82484,04-Feb-13,04-Aug-13,181
I-200-13179-683816,certified,"QUALCOMM ATHEROS, INC.",127150.4,year,127150.4,year,STAFF SOFTWARE ENGINEER,SAN JOSE,15-1133,"Software Developers, Systems Software",CA,y,H-1B,software engineer,5195,07-Mar-13,07-Oct-13,214
I-200-13161-934040,certified,"DEX ONE SERVICE, INC.",62587.0,year,76000.0,year,SOFTWARE ENGINEER,SANTA MONICA,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,104522,06-Oct-13,14-Jun-13,114
I-200-14069-885527,certified,KLA-TENCOR CORPORATION,97277.0,year,97277.0,year,SOFTWARE ENGINEER,MILPITAS,15-1133,"Software Developers, Systems Software",CA,y,H-1B,software engineer,30873,03-Dec-14,19-Mar-14,259
I-200-14078-104836,certified,VERTIV INC,63669.0,year,64000.0,year,BUSINESS ANALYST,PRINCETON,15-1121,Computer Systems Analysts,NJ,y,H-1B,business analyst,100489,19-Mar-14,25-Mar-14,6
A-14224-97220,certified,HCL AMERICA INC.,122179.0,year,122179.0,year,SENIOR SOFTWARE ENGINEER,JERSEY CITY,15-1132,"Software Developers, Applications",NEW JERSEY,,greencard,software engineer,7254,15-Aug-14,15-Jan-15,153
I-201-13036-580364,certified,PITTSBURG INDEPENDENT SCHOOL DISTRICT,35560.0,year,40660.0,year,Secondary Spanish Teacher,PITTSBURG,25-2031,"Secondary School Teachers, Except Special and Care",TX,y,H-1B1 Chile,teacher,162102,14-Feb-13,21-Feb-13,7
I-200-14059-905815,certified,KPIT INFOSYSTEMS INC.,57824.0,year,58000.0,year,SOFTWARE ENGINEER,AUBURN HILLS,15-1121,Computer Systems Analysts,MI,y,H-1B,software engineer,123087,28-Feb-14,03-Jun-14,95
I-200-12341-929727,certified,MARSHALL UNIVERSITY,56177.0,year,56177.0,year,ASSISTANT PROFESSOR,HUNTINGTON,25-1193,"Recreation and Fitness Studies Teachers, Postsecon",WV,y,H-1B,assistant professor,127069,12-Dec-12,18-Dec-12,6
I-200-14199-413477,certified,APPLE INC.,109762.0,year,120000.0,year,SOFTWARE ENGINEER,Cupertino,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,16388,21-Jul-14,25-Jul-14,4
I-200-14078-925068,certified,"SUPRASOFT, INC.",62712.0,year,62712.0,year,SOFTWARE ENGINEER,SCHAUMBURG,15-1132,"Software Developers, Applications",IL,y,H-1B,software engineer,104061,19-Mar-14,25-Mar-14,6
I-200-12153-690953,certified,"SAGARSOFT, INC",35.73,hour,50.0,hour,SENIOR BUSINESS ANALYST,HARTFORD,15-1121,Computer Systems Analysts,CT,y,H-1B,business analyst,73463,06-Jan-12,22-May-13,502
I-200-14303-062874,certified,"IRIS SOFTWARE, INC.",80434.0,year,90000.0,year,BUSINESS ANALYST,Edison,13-1111,Management Analysts,NJ,y,H-1B,business analyst,61403,30-Oct-14,11-May-14,172
I-200-14337-405900,certified,"JAPANESE CHILDREN'S SOCIETY, INC.",19840.0,year,2000.0,bi-weekly,TEACHER,ENGLEWOOD CLIFFS,25-3099,"Teachers and Instructors, All Other",NJ,y,H-1B,teacher,167089,12-Apr-14,12-Oct-14,183
I-200-14247-153907,certified,"SELSOFT, INC.",47258.0,year,47258.0,year,SOFTWARE ENGINEER,PHOENIX,15-1132,"Software Developers, Applications",AZ,y,H-1B,software engineer,144677,09-Apr-14,09-Oct-14,183
I-200-13065-066502,certified,LINKEDIN CORPORATION,84802.0,year,84802.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,52749,03-Jul-13,30-Dec-13,180
I-200-14084-688838,certified,"INOVALON, INC.",78083.0,year,79000.0,year,SENIOR BUSINESS ANALYST,Bowie,13-1111,Management Analysts,MD,y,H-1B,business analyst,65217,25-Mar-14,04-Mar-14,21
I-200-13224-101976,certified,HOBART AND WILLIAM SMITH COLLEGES (COLLEGES OF THE,42690.0,year,42690.0,year,ASSISTANT PROFESSOR,GENEVA,25-1123,"English Language and Literature Teachers, Postseco",NY,y,H-1B,assistant professor,153372,14-Aug-13,20-Aug-13,6
I-200-13123-940488,certified,UNIVERSITY OF IDAHO,43430.0,year,53019.0,year,"ASSISTANT PROFESSOR, HISTORY",MOSCOW,25-1125,"History Teachers, Postsecondary",ID,y,H-1B,assistant professor,151889,05-Mar-13,05-Sep-13,184
I-200-12285-178990,certified,UNIVERSITY OF NEW MEXICO HEALTH SCIENCES CENTER,70600.0,year,96000.0,year,ASSISTANT PROFESSOR,ALBUQUERQUE,25-1071,"Health Specialties Teachers, Postsecondary",NM,y,H-1B,assistant professor,84254,10-Nov-12,17-Oct-12,24
I-200-11305-030948,certified,UNIVERSITY OF UTAH,60820.0,year,80000.0,year,ASSISTANT PROFESSOR,SALT LAKE CITY,25-1032,"Engineering Teachers, Postsecondary",UT,y,H-1B,assistant professor,111209,14-Nov-11,18-Nov-11,4
I-200-14042-134373,certified,APPSENSE INC.,126006.0,year,135000.0,year,SR. SOFTWARE ENGINEER,SUNNYVALE,15-1133,"Software Developers, Systems Software",CA,y,H-1B,software engineer,5934,14-Feb-14,01-Jul-15,502
I-200-13017-534499,certified,GOOGLE INC.,84802.0,year,100000.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,52316,18-Jan-13,25-Jan-13,7
A-14241-02838,certified,"ALLSCRIPTS SOFTWARE, LLC",61506.0,year,94999.0,year,SR. SOFTWARE ENGINEER,Raleigh,15-1132,"Software Developers, Applications",NORTH CAROLINA,,greencard,software engineer,108860,09-Feb-14,27-Jan-15,352
I-200-14077-932616,certified,APTIVA CORP,60736.0,year,62000.0,year,SOFTWARE ENGINEER,HOUSTON,15-1132,"Software Developers, Applications",TX,y,H-1B,software engineer,111522,18-Mar-14,26-Mar-14,8
I-200-15061-280253,certified,JPMORGAN CHASE & CO,80995.0,year,81000.0,year,"ASSOCIATE, BUSINESS ANALYST",JERSEY CITY,15-1121.00,Computer Systems Analysts,NJ,y,H-1B,business analyst,59684,03-Feb-15,03-Oct-15,242
I-203-13177-355047,certified,IGT,90438.0,year,110857.0,year,SOFTWARE ENGINEER,LAS VEGAS,15-1132,"Software Developers, Applications",NV,y,E-3 Australian,software engineer,42122,26-Jun-13,07-Feb-13,139
I-200-14254-661666,certified,"YASH & LUJAN CONSULTING, INC.",62379.0,year,65000.0,year,SOFTWARE ENGINEER,GREENVILLE,15-1132,"Software Developers, Applications",NC,y,H-1B,software engineer,106372,09-Nov-14,17-Sep-14,53
I-200-13184-757683,certified,"INOVALON, INC.",59717.0,year,66000.0,year,BUSINESS ANALYST,Bowie,13-1111,Management Analysts,MD,y,H-1B,business analyst,115873,14-Aug-13,20-Aug-13,6
I-200-15077-722407,certified,NEW YORK UNIVERSITY,45030.0,year,170000.0,year,VISITING ASSISTANT PROFESSOR,NEW YORK,25-1011,"Business Teachers, Postsecondary",NY,y,H-1B,assistant professor,149029,18-Mar-15,27-Mar-15,9
I-200-14013-358982,denied,"CHEN INSTRUMENT DESIGN, INC.",32.16,hour,32.5,hour,Embedded Systems Software Engineer,CAMAS,15-1036,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, NON R&D",WA,y,H-1B,software engineer,93399,20-Jan-14,24-Jan-14,4
I-200-14041-495258,certified,"DTS, INC.",89170.0,year,109000.0,year,SENIOR SOFTWARE ENGINEER,Santa Ana,15-1133,"Software Developers, Systems Software",CA,y,H-1B,software engineer,44239,02-Nov-14,18-Feb-14,257
I-200-15051-209647,certified,GOOGLE INC.,99423.0,year,130000.0,year,SOFTWARE ENGINEER IN TEST,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,26313,24-Feb-15,03-Apr-15,38
I-200-14044-531594,certified,"KORCOMPTENZ, INC.",89378.0,year,100000.0,year,SOFTWARE ENGINEER,NEW YORK,15-1132,"Software Developers, Applications",NY,y,H-1B,software engineer,43889,13-Feb-14,21-Feb-14,8
A-13246-93413,certified,CERQA LLC DBA THE WHITLEY GROUP,79789.0,year,79789.0,year,BUSINESS ANALYST,AUSTIN,15-1132,"Software Developers, Applications",TEXAS,,greencard,business analyst,62346,22-Oct-13,30-Apr-15,555
I-200-12307-914284,certified,"BLACKHAWK NETWORK, INC. (SUBSIDIARY OF SAFEWAY INC",119662.0,year,119662.0,year,SR. STAFF SOFTWARE ENGINEER,Pleasanton,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,7988,11-Jul-12,15-Nov-12,127
I-200-15064-317215,certified,"ARGHA SERVICES, INC",57949.0,year,60000.0,year,SOFTWARE ENGINEER,Dunwoody,15-1132,"Software Developers, Applications",GA,y,H-1B,software engineer,122379,03-May-15,03-Nov-15,184
I-200-13239-517600,certified,MOODY'S ANALYTICS,93267.0,year,100000.0,year,SOFTWARE ENGINEER (ASSISTANT DIRECTOR),SAN FRANCISCO,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,37235,28-Aug-13,09-May-13,111
I-200-14078-030558,certified,NALGAN USA INC.,61589.0,year,75000.0,year,SOFTWARE ENGINEER,SAN JOSE,15-1131,Computer Programmers,CA,y,H-1B,software engineer,108552,19-Mar-14,25-Mar-14,6
I-200-15057-165305,certified,"SAILPOINT TECHNOLOGIES, INC.",70500.0,year,74000.0,year,SOFTWARE ENGINEER,AUSTIN,15-1132,"Software Developers, Applications",TX,y,H-1B,software engineer,84422,03-Apr-15,03-Dec-15,244
I-200-13128-799707,certified,"CORNERSTONE ONDEMAND, INC.",78374.0,year,90000.0,year,SOFTWARE ENGINEER,SANTA MONICA,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,64844,05-Sep-13,15-May-13,113
I-200-13230-746316,certified,"RISE EDUCATION SCHOOLS, INC.",42470.0,year,42470.0,year,"CLASSROOM TEACHER, BIOLOGY",LAUDERHILL,25-3099,"Teachers and Instructors, All Other",FL,y,H-1B,teacher,153727,18-Aug-13,22-Aug-13,4
I-200-14051-253137,certified,NALASHAA LLC,60403.0,year,72000.0,year,SOFTWARE ENGINEER,ISELIN,15-1132,"Software Developers, Applications",NJ,y,H-1B,software engineer,113411,20-Feb-14,26-Feb-14,6
I-200-14210-865518,certified,INTEL MASSACHUSETTS,91749.0,year,91749.0,year,SOFTWARE ENGINEER,Hudson,15-1133,"Software Developers, Systems Software",MA,y,H-1B,software engineer,40024,08-Jul-14,13-Aug-14,36
I-200-13060-397487,certified,EMC CORPORATION,72946.0,year,72946.0,year,SOFTWARE ENGINEER (IMPLEMENTATION DELIVERY ENGIN.),BERKELEY HEIGHTS,15-1133,"Software Developers, Systems Software",NJ,y,H-1B,software engineer,77909,03-Apr-13,03-Aug-13,122
I-200-14027-900389,certified,GOOGLE INC.,116605.0,year,127000.0,year,SOFTWARE ENGINEER,MOUNTAIN VIEW,15-1132,"Software Developers, Applications",CA,y,H-1B,software engineer,9642,02-Nov-14,20-Jun-14,135
I-200-15022-252529,certified,SFO TECHNOLOGIES CORPORATION,61506.0,year,67434.0,year,SOFTWARE ENGINEER,DURHAM,15-1132,"Software Developers, Applications",NC,y,H-1B,software engineer,108995,02-Mar-15,02-Sep-15,184
